,Chronotype,O,C,E,A,S
0,Strong owl,0.8711150131694473,-1.1631556623780577,0.347040616511907,-0.578990294429492,-0.24200419230509151
1,Strong owl,0.4321334503950838,1.6644987982468538,0.6628766344513928,-0.578990294429492,0.09608492798701745
2,Owl,-0.8848112379280066,-0.45624204722182976,0.031204598572421128,-0.9867873746023981,-0.24200419230509151
3,Lark,-0.4458296751536432,0.957585183090626,0.031204598572421128,-1.80238153494821,1.1103522888633444
4,Lark,-1.7627743634767337,-0.10278523964371583,-0.9163034552460364,0.6444009460892258,-0.24200419230509151
5,Owl,-1.32379280070237,-0.8096988547999437,0.031204598572421128,-0.1711932142565861,0.7722631685712354
6,Owl,1.3100965759438108,0.957585183090626,0.031204598572421128,-0.9867873746023981,0.4341740482791264
7,Lark,1.3100965759438108,0.957585183090626,1.9262207062093362,-0.1711932142565861,-1.5943606734735274
8,Owl,0.4321334503950838,0.957585183090626,-1.2321394731855222,0.23660386591631988,1.4484414091554534
9,Strong owl,-1.7627743634767337,1.3110419906687398,-1.8638115090644938,-1.80238153494821,0.4341740482791264
10,Owl,-0.4458296751536432,0.6041283755125121,-1.547975491125008,1.8677921866079439,1.4484414091554534
11,Owl,-0.006848112379279706,0.957585183090626,1.6103846882698503,-0.9867873746023981,0.7722631685712354
12,Lark,-0.8848112379280066,0.6041283755125121,1.2945486703303644,-1.80238153494821,0.7722631685712354
13,Strong owl,0.4321334503950838,0.957585183090626,0.9787126523908786,-0.1711932142565861,0.09608492798701745
14,,0.4321334503950838,0.957585183090626,-0.6004674373065505,1.0521980262621318,-1.9324497937656364
15,Strong owl,1.3100965759438108,-0.45624204722182976,1.2945486703303644,1.0521980262621318,1.4484414091554534
16,Owl,-0.4458296751536432,-0.45624204722182976,-0.9163034552460364,0.6444009460892258,-0.5800933125972005
17,Owl,-0.006848112379279706,-1.1631556623780577,0.6628766344513928,-0.1711932142565861,0.09608492798701745
18,Lark,0.8711150131694473,0.6041283755125121,-0.9163034552460364,0.6444009460892258,1.4484414091554534
19,Owl,1.3100965759438108,1.3110419906687398,0.347040616511907,1.4599951064350378,0.09608492798701745
20,Owl,-0.4458296751536432,-0.45624204722182976,-0.6004674373065505,1.0521980262621318,1.1103522888633444
21,Strong owl,-0.006848112379279706,,-0.6004674373065505,1.0521980262621318,0.7722631685712354
22,Lark,0.4321334503950838,0.957585183090626,0.031204598572421128,1.0521980262621318,0.09608492798701745
23,Lark,-1.32379280070237,0.2506715679343981,-0.2846314193670647,-1.394584454775304,0.09608492798701745
24,Strong owl,-0.4458296751536432,-0.8096988547999437,-1.2321394731855222,1.4599951064350378,-0.24200419230509151
25,Strong owl,0.8711150131694473,-0.10278523964371583,0.6628766344513928,-1.80238153494821,-1.2562715531814184
26,Owl,0.8711150131694473,0.957585183090626,-1.8638115090644938,0.23660386591631988,-1.5943606734735274
27,Strong owl,0.4321334503950838,-0.45624204722182976,-1.2321394731855222,0.6444009460892258,1.1103522888633444
28,Strong owl,1.3100965759438108,-1.8700692775342855,1.6103846882698503,1.8677921866079439,0.7722631685712354
29,Owl,0.4321334503950838,-0.10278523964371583,-0.9163034552460364,1.4599951064350378,0.7722631685712354
30,Lark,-0.8848112379280066,1.3110419906687398,-0.9163034552460364,0.23660386591631988,1.4484414091554534
31,Strong owl,0.8711150131694473,1.3110419906687398,-1.8638115090644938,1.8677921866079439,1.1103522888633444
32,Strong owl,-0.006848112379279706,0.957585183090626,0.9787126523908786,-0.578990294429492,1.7865305294475624
33,Owl,-0.8848112379280066,0.2506715679343981,-0.9163034552460364,0.23660386591631988,-0.5800933125972005
34,Strong owl,0.8711150131694473,0.957585183090626,1.9262207062093362,1.4599951064350378,0.7722631685712354
35,Lark,-1.32379280070237,0.957585183090626,-0.6004674373065505,1.0521980262621318,-0.24200419230509151
36,Strong owl,1.3100965759438108,0.6041283755125121,0.6628766344513928,-0.9867873746023981,1.1103522888633444
37,Lark,-0.4458296751536432,-0.10278523964371583,1.6103846882698503,-0.1711932142565861,0.7722631685712354
38,Strong owl,-1.32379280070237,0.957585183090626,0.031204598572421128,-0.578990294429492,0.4341740482791264
39,Lark,-1.32379280070237,1.3110419906687398,-1.2321394731855222,1.4599951064350378,0.4341740482791264
40,Strong owl,0.8711150131694473,1.3110419906687398,1.9262207062093362,1.0521980262621318,0.09608492798701745
41,Owl,-0.8848112379280066,-0.45624204722182976,-0.2846314193670647,0.23660386591631988,0.7722631685712354
42,Lark,-0.8848112379280066,-0.10278523964371583,0.6628766344513928,0.6444009460892258,0.09608492798701745
43,Strong owl,0.8711150131694473,0.2506715679343981,0.347040616511907,-0.1711932142565861,0.09608492798701745
44,Owl,-0.4458296751536432,-0.10278523964371583,1.2945486703303644,1.8677921866079439,0.7722631685712354
45,Lark,-0.8848112379280066,0.957585183090626,0.6628766344513928,-0.9867873746023981,-0.24200419230509151
46,Strong owl,-0.006848112379279706,-1.5166124699561716,0.9787126523908786,-0.578990294429492,0.4341740482791264
47,,0.4321334503950838,0.957585183090626,0.031204598572421128,1.0521980262621318,-0.24200419230509151
48,Owl,0.8711150131694473,0.6041283755125121,-0.6004674373065505,,-1.5943606734735274
49,Lark,-0.8848112379280066,0.6041283755125121,-1.8638115090644938,-0.578990294429492,-1.2562715531814184
50,Owl,0.8711150131694473,-1.1631556623780577,1.6103846882698503,-0.1711932142565861,1.1103522888633444
51,Owl,-1.32379280070237,1.6644987982468538,0.9787126523908786,-0.1711932142565861,-0.5800933125972005
52,Lark,-0.006848112379279706,1.6644987982468538,-0.2846314193670647,1.4599951064350378,0.7722631685712354
53,Owl,-1.32379280070237,0.6041283755125121,-1.2321394731855222,-0.578990294429492,0.7722631685712354
54,,0.4321334503950838,0.957585183090626,0.347040616511907,-0.578990294429492,-0.9181824328893095
55,Lark,-0.4458296751536432,0.2506715679343981,0.031204598572421128,,-0.5800933125972005
56,Owl,0.4321334503950838,-0.45624204722182976,0.031204598572421128,1.0521980262621318,0.4341740482791264
57,Lark,-0.4458296751536432,-0.8096988547999437,1.2945486703303644,-0.9867873746023981,-0.24200419230509151
58,Owl,-2.201755926251097,0.957585183090626,-1.547975491125008,0.6444009460892258,1.1103522888633444
59,Strong owl,-0.006848112379279706,-0.10278523964371583,1.6103846882698503,-0.578990294429492,1.4484414091554534
60,Strong owl,-0.006848112379279706,-0.8096988547999437,-0.6004674373065505,0.23660386591631988,0.09608492798701745
61,Strong owl,0.8711150131694473,0.957585183090626,0.031204598572421128,-0.1711932142565861,0.7722631685712354
62,Owl,0.4321334503950838,-0.10278523964371583,-1.2321394731855222,1.0521980262621318,0.7722631685712354
63,Strong owl,-0.006848112379279706,-0.45624204722182976,-1.8638115090644938,-0.1711932142565861,-1.9324497937656364
64,Strong owl,-0.006848112379279706,-0.8096988547999437,0.6628766344513928,-0.578990294429492,-0.5800933125972005
65,Lark,-0.4458296751536432,0.2506715679343981,-0.9163034552460364,-1.394584454775304,-0.5800933125972005
66,Owl,-0.4458296751536432,1.6644987982468538,0.6628766344513928,,-0.24200419230509151
67,Owl,-0.8848112379280066,1.3110419906687398,0.9787126523908786,-0.9867873746023981,1.4484414091554534
68,Lark,1.3100965759438108,0.957585183090626,0.9787126523908786,1.0521980262621318,0.09608492798701745
69,Owl,1.3100965759438108,-0.8096988547999437,-0.9163034552460364,1.4599951064350378,-0.24200419230509151
70,Owl,-0.8848112379280066,0.6041283755125121,0.6628766344513928,-0.9867873746023981,1.1103522888633444
71,,-2.201755926251097,0.957585183090626,-0.9163034552460364,1.0521980262621318,-0.5800933125972005
72,Owl,0.4321334503950838,-0.8096988547999437,1.9262207062093362,0.23660386591631988,-0.5800933125972005
73,Strong owl,-1.32379280070237,0.2506715679343981,-1.8638115090644938,1.0521980262621318,0.09608492798701745
74,,,,,,
75,Strong owl,-0.4458296751536432,1.6644987982468538,-1.547975491125008,0.6444009460892258,1.1103522888633444
76,Lark,-1.32379280070237,1.3110419906687398,-0.6004674373065505,,0.4341740482791264
77,Owl,-0.8848112379280066,0.2506715679343981,0.9787126523908786,-0.1711932142565861,-0.5800933125972005
78,Owl,0.4321334503950838,0.2506715679343981,-0.9163034552460364,-0.1711932142565861,1.7865305294475624
79,Lark,-1.32379280070237,-0.45624204722182976,0.9787126523908786,1.4599951064350378,-0.5800933125972005
80,Lark,0.4321334503950838,1.3110419906687398,0.9787126523908786,1.0521980262621318,-0.24200419230509151
81,Lark,-0.4458296751536432,1.3110419906687398,0.9787126523908786,0.6444009460892258,0.09608492798701745
82,Owl,-0.4458296751536432,0.6041283755125121,-0.6004674373065505,0.23660386591631988,0.4341740482791264
83,Owl,-0.006848112379279706,0.957585183090626,1.2945486703303644,-0.1711932142565861,1.1103522888633444
84,Owl,-0.8848112379280066,-1.1631556623780577,-0.2846314193670647,-0.578990294429492,-1.5943606734735274
85,Lark,0.4321334503950838,-0.45624204722182976,0.031204598572421128,-0.1711932142565861,1.1103522888633444
